Timestamp,Gas_Level_Analog,Digital_Pin_Value,Status
2026-07-18T12:34:05.045Z,408,1,Safe
2026-07-18T12:34:05.151Z,408,1,Safe
2026-07-18T12:34:05.255Z,407,1,Safe
2026-07-18T12:34:05.361Z,407,1,Safe
2026-07-18T12:34:05.467Z,408,1,Safe
2026-07-18T12:34:05.571Z,408,1,Safe
2026-07-18T12:34:05.677Z,406,1,Safe
2026-07-18T12:34:05.784Z,408,1,Safe
2026-07-18T12:34:05.887Z,407,1,Safe
2026-07-18T12:34:05.996Z,408,1,Safe
2026-07-18T12:34:06.102Z,408,1,Safe
2026-07-18T12:34:06.204Z,407,1,Safe
2026-07-18T12:34:06.312Z,408,1,Safe
2026-07-18T12:34:06.417Z,408,1,Safe
2026-07-18T12:34:06.520Z,408,1,Safe
2026-07-18T12:34:06.628Z,407,1,Safe
2026-07-18T12:34:06.733Z,408,1,Safe
2026-07-18T12:34:06.837Z,409,1,Safe
2026-07-18T12:34:06.943Z,408,1,Safe
2026-07-18T12:34:07.050Z,407,1,Safe
2026-07-18T12:34:07.154Z,407,1,Safe
2026-07-18T12:34:07.262Z,407,1,Safe
2026-07-18T12:34:07.367Z,407,1,Safe
2026-07-18T12:34:07.473Z,406,1,Safe
2026-07-18T12:34:07.577Z,407,1,Safe
2026-07-18T12:34:07.683Z,407,1,Safe
2026-07-18T12:34:07.787Z,407,1,Safe
2026-07-18T12:34:07.895Z,407,1,Safe
2026-07-18T12:34:08.001Z,407,1,Safe
2026-07-18T12:34:08.103Z,406,1,Safe
2026-07-18T12:34:08.211Z,407,1,Safe
2026-07-18T12:34:08.317Z,406,1,Safe
2026-07-18T12:34:08.421Z,406,1,Safe
2026-07-18T12:34:08.528Z,407,1,Safe
2026-07-18T12:34:08.632Z,407,1,Safe
2026-07-18T12:34:08.736Z,407,1,Safe
2026-07-18T12:34:08.844Z,407,1,Safe
2026-07-18T12:34:08.949Z,407,1,Safe
2026-07-18T12:34:09.054Z,406,1,Safe
2026-07-18T12:34:09.159Z,406,1,Safe
2026-07-18T12:34:09.266Z,406,1,Safe
2026-07-18T12:34:09.370Z,407,1,Safe
2026-07-18T12:34:09.476Z,406,1,Safe
2026-07-18T12:34:09.584Z,405,1,Safe
2026-07-18T12:34:09.687Z,407,1,Safe
2026-07-18T12:34:09.795Z,407,1,Safe
2026-07-18T12:34:09.899Z,406,1,Safe
2026-07-18T12:34:10.003Z,405,1,Safe
2026-07-18T12:34:10.109Z,405,1,Safe
2026-07-18T12:34:10.217Z,406,1,Safe
2026-07-18T12:34:10.320Z,406,1,Safe
2026-07-18T12:34:10.425Z,405,1,Safe
2026-07-18T12:34:10.534Z,405,1,Safe
2026-07-18T12:34:10.636Z,406,1,Safe
2026-07-18T12:34:10.743Z,406,1,Safe
2026-07-18T12:34:10.851Z,407,1,Safe
2026-07-18T12:34:10.954Z,406,1,Safe
2026-07-18T12:34:11.060Z,406,1,Safe
2026-07-18T12:34:11.166Z,406,1,Safe
2026-07-18T12:34:11.270Z,406,1,Safe
2026-07-18T12:34:11.375Z,406,1,Safe
2026-07-18T12:34:11.483Z,406,1,Safe
2026-07-18T12:34:11.587Z,405,1,Safe
2026-07-18T12:34:11.692Z,405,1,Safe
2026-07-18T12:34:11.799Z,406,1,Safe
2026-07-18T12:34:11.902Z,405,1,Safe
2026-07-18T12:34:12.009Z,405,1,Safe
2026-07-18T12:34:12.115Z,405,1,Safe
2026-07-18T12:34:12.220Z,406,1,Safe
2026-07-18T12:34:12.324Z,406,1,Safe
2026-07-18T12:34:12.432Z,406,1,Safe
2026-07-18T12:34:12.536Z,405,1,Safe
2026-07-18T12:34:12.642Z,407,1,Safe
2026-07-18T12:34:12.749Z,405,1,Safe
2026-07-18T12:34:12.853Z,405,1,Safe
2026-07-18T12:34:12.960Z,405,1,Safe
2026-07-18T12:34:13.066Z,406,1,Safe
2026-07-18T12:34:13.169Z,405,1,Safe
2026-07-18T12:34:13.277Z,405,1,Safe
2026-07-18T12:34:13.384Z,404,1,Safe
2026-07-18T12:34:13.487Z,404,1,Safe
2026-07-18T12:34:13.591Z,406,1,Safe
2026-07-18T12:34:13.699Z,406,1,Safe
2026-07-18T12:34:13.803Z,405,1,Safe
2026-07-18T12:34:13.908Z,405,1,Safe
2026-07-18T12:34:14.015Z,405,1,Safe
2026-07-18T12:34:14.120Z,405,1,Safe
2026-07-18T12:34:14.226Z,405,1,Safe
2026-07-18T12:34:14.333Z,405,1,Safe
2026-07-18T12:34:14.436Z,405,1,Safe
2026-07-18T12:34:14.541Z,404,1,Safe
2026-07-18T12:34:14.649Z,405,1,Safe
2026-07-18T12:34:14.754Z,405,1,Safe
2026-07-18T12:34:14.858Z,405,1,Safe
2026-07-18T12:34:14.966Z,405,1,Safe
2026-07-18T12:34:15.070Z,406,1,Safe
2026-07-18T12:34:15.175Z,404,1,Safe
2026-07-18T12:34:15.282Z,406,1,Safe
